second,Volt
-5.6000E-06,-1.970E+00
-5.5000E-06,-1.985E+00
-5.4000E-06,-2.016E+00
-5.3000E-06,-1.985E+00
-5.2000E-06,-1.970E+00
-5.1000E-06,-1.985E+00
-5.0000E-06,-1.985E+00
-4.9000E-06,-2.001E+00
-4.8000E-06,-2.032E+00
-4.7000E-06,-2.016E+00
-4.6000E-06,-2.001E+00
-4.5000E-06,-2.001E+00
-4.4000E-06,-2.016E+00
-4.3000E-06,-2.016E+00
-4.2000E-06,-2.032E+00
-4.1000E-06,-1.970E+00
-4.0000E-06,-1.970E+00
-3.9000E-06,-2.001E+00
-3.8000E-06,-2.016E+00
-3.7000E-06,-2.001E+00
-3.6000E-06,-1.970E+00
-3.5000E-06,-2.016E+00
-3.4000E-06,-2.016E+00
-3.3000E-06,-2.016E+00
-3.2000E-06,-2.048E+00
-3.1000E-06,-1.985E+00
-3.0000E-06,-1.985E+00
-2.9000E-06,-2.016E+00
-2.8000E-06,-2.048E+00
-2.7000E-06,-1.970E+00
-2.6000E-06,-1.970E+00
-2.5000E-06,-2.016E+00
-2.4000E-06,-2.016E+00
-2.3000E-06,-1.970E+00
-2.2000E-06,-1.970E+00
-2.1000E-06,-2.016E+00
-2.0000E-06,-1.938E+00
-1.9000E-06,-2.001E+00
-1.8000E-06,-1.970E+00
-1.7000E-06,-2.016E+00
-1.6000E-06,-2.016E+00
-1.5000E-06,-2.016E+00
-1.4000E-06,-2.032E+00
-1.3000E-06,-2.032E+00
-1.2000E-06,-2.001E+00
-1.1000E-06,-1.985E+00
-1.000E-06,-1.970E+00
-900.0E-09,-1.985E+00
-800.0E-09,-1.985E+00
-700.0E-09,-2.048E+00
-600.0E-09,-1.673E+00
-500.0E-09,-2.579E+00
-400.0E-09,-1.016E+00
-300.0E-09,-2.626E+00
-200.0E-09,-1.079E+00
-100E-09,-3.188E+00
+0.0E+00,-2.157E+00
+100.0E-09,-3.235E+00
+200.0E-09,-2.891E+00
+300.0E-09,-1.938E+00
+400.0E-09,-3.345E+00
+500.0E-09,-1.141E+00
+600.0E-09,-1.938E+00
+700.0E-09,-2.313E+00
+800.0E-09,-1.641E+00
+900.0E-09,-2.313E+00
+1.0000E-06,-1.548E+00
+1.1000E-06,-3.032E+00
+1.2000E-06,-1.345E+00
+1.3000E-06,-2.860E+00
+1.4000E-06,-860E-03
+1.5000E-06,-2.485E+00
+1.6000E-06,-2.173E+00
+1.7000E-06,-2.798E+00
+1.8000E-06,-1.735E+00
+1.9000E-06,-2.391E+00
+2.0000E-06,-891E-03
+2.1000E-06,-3.048E+00
+2.2000E-06,-704E-03
+2.3000E-06,-3.298E+00
+2.4000E-06,-2.204E+00
+2.5000E-06,-3.063E+00
+2.6000E-06,-954E-03
+2.7000E-06,-3.407E+00
+2.8000E-06,-985E-03
+2.9000E-06,-3.220E+00
+3.0000E-06,-610E-03
+3.1000E-06,-3.423E+00
+3.2000E-06,-1.235E+00
+3.3000E-06,-2.829E+00
+3.4000E-06,-688E-03
+3.5000E-06,-1.266E+00
+3.6000E-06,-907E-03
+3.7000E-06,-1.407E+00
+3.8000E-06,-2.141E+00
+3.9000E-06,-970E-03
+4.0000E-06,-3.001E+00
+4.1000E-06,-1.579E+00
+4.2000E-06,-2.423E+00
+4.3000E-06,-1.610E+00
+4.4000E-06,-1.032E+00
+4.5000E-06,-954E-03
+4.6000E-06,-2.720E+00
+4.7000E-06,-985E-03
+4.8000E-06,-3.141E+00
+4.9000E-06,-1.720E+00
+5.0000E-06,-1.563E+00
+5.1000E-06,-1.657E+00
+5.2000E-06,-1.391E+00
+5.3000E-06,-1.438E+00
+5.4000E-06,-2.673E+00
+5.5000E-06,-485E-03
+5.6000E-06,-3.157E+00
+5.7000E-06,-673E-03
+5.8000E-06,-2.704E+00
+5.9000E-06,-1.501E+00
+6.0000E-06,-3.907E+00
+6.1000E-06,-313E-03
+6.2000E-06,-2.110E+00
+6.3000E-06,-157E-03
+6.4000E-06,-3.704E+00
+6.5000E-06,-923E-03
